Número;Fecha de la reservación;Mes de reservación;País;Mes de reserva;Días de Anticipación;Fecha de entrada;Fecha de salida;Días;Vuelo;Carro;Lugar
234;22/10/2024;Octubre;Israel;Octubre;2;24/10/2024;12/11/2024;19;-;Rav4;SJO
235;18/10/2024;Octubre;Bélgica;Octubre;8;26/10/2024;1/11/2024;6;-;Grand Vitara;SJO
236;13/8/2024;Agosto;Israel;Noviembre;81;2/11/2024;14/11/2024;12;-;Prado;SJO
237;28/5/2024;Mayo;Estados Unidos;Noviembre;159;3/11/2024;13/11/2024;10;DL1937;Vitara;SJO
238;28/5/2024;Mayo;Estados Unidos;Noviembre;159;3/11/2024;13/11/2024;10;DL1937;Vitara;SJO
239;11/10/2024;Octubre;Argentina;Noviembre;24;4/11/2024;14/11/2024;10;DM4400;Chery;SJO
240;4/11/2024;Noviembre;Costa Rica;Noviembre;1;5/11/2024;23/11/2024;18;-;Rav4;SJO
241;4/11/2024;Noviembre;Estados Unidos;Noviembre;2;6/11/2024;13/11/2024;7;B61695;Rav4;SJO
242;8/10/2024;Octubre;Costa Rica;Noviembre;30;7/11/2024;10/11/2024;3;-;Montero ;SJO
243;7/11/2024;Noviembre;Suecia;Noviembre;1;8/11/2024;25/11/2024;17;-;Suabru;SJO
244;4/11/2024;Noviembre;Alemania;Noviembre;4;8/11/2024;13/11/2024;5;-;Jimny;PV
245;7/11/2024;Noviembre;Israel;Noviembre;5;12/11/2024;25/11/2024;13;-;Grand Vitara;SJO
246;6/10/2024;Octubre;Estados Unidos;Noviembre;46;21/11/2024;5/12/2024;14;UA1096;Prado;SJO
247;27/2/2024;Febrero;Francia;Noviembre;269;22/11/2024;8/12/2024;16;AC957;ASX;SJO
248;10/7/2024;Julio;Austria;Noviembre;136;23/11/2024;17/12/2024;24;AC957;ASX;SJO
249;21/10/2024;Octubre;Israel;Noviembre;33;23/11/2024;7/12/2024;14;-;Rav4;SJO
250;10/11/2024;Noviembre;Perú;Noviembre;13;23/11/2024;26/11/2024;3;-;Vitara;SJO
251;28/10/2024;Octubre;Estados Unidos;Noviembre;27;24/11/2024;4/12/2024;10;CM116;ASX;SJO
